id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
46562,,ondydev,ondydev,30,5,5,1,105475,4442,21095,6,100,100,33,83,0,0,0,0,0,0,United States
42818,,蒐藏馆工作室,-,30,3,3,0,105354,52677,35118,0,100,0,67,100,33,67,67,0,0,0,
1899992,,KudPlay Games,kudplay-games,30,2,2,0,105327,52664,52664,2,100,100,0,100,0,0,0,0,0,0,
1771304,,Bonemeal Productions,bonemeal-productions,30,1,1,1,105316,105316,105316,2,100,50,50,100,0,0,0,0,0,0,
1904,,Eastasiasoft Limited,eastasiasoft-limited,30,16,16,4,105307,1565,6582,20,100,70,50,10,0,0,0,0,5,0,Hong Kong
42156,,Kurt Wojda,kurt-wojda,30,2,2,0,105283,52642,52642,0,100,0,100,0,0,0,0,0,0,0,
12857,,Rocwise Entertainment,rocwise-entertainment,30,2,2,0,105232,52616,52616,2,100,100,0,100,0,0,0,0,0,0,
1116,,Lemondo Games,lemondo-games,30,4,4,0,105217,14822,26304,4,75,50,25,50,0,0,0,0,0,0,
20417,,Vertical Reach,vertical-reach,30,3,3,0,105212,5219,35071,2,67,0,67,33,0,33,0,0,0,0,
45564,,Apphic Games,apphic-games,30,1,1,1,105196,105196,105196,2,100,100,0,100,0,0,50,0,0,0,
21961,,PlazSoft,plazsoft,30,1,1,0,105191,105191,105191,1,100,100,100,100,100,100,0,0,0,0,
45670,,ShiBoo!,shiboo,30,1,1,0,105178,105178,105178,0,100,0,0,100,0,0,100,0,0,0,
10727,,Decumanus Games,decumanus-games,30,1,1,0,105161,105161,105161,1,0,0,0,0,100,100,0,0,0,0,
41977,,No. 25,no-25,30,8,8,0,105142,13068,13143,8,0,0,100,0,0,25,0,0,0,0,
34245,,Henrique Faitta Chitolina,henrique-faitta-chitolina,30,1,1,0,105124,105124,105124,0,100,0,100,100,100,0,100,0,0,0,
99800,,Pidro Soft,pidro-soft,30,1,1,0,105124,105124,105124,0,100,0,100,100,100,0,100,0,0,0,
12233,,Flat Chest Dev,flat-chest-dev,30,1,1,0,105035,105035,105035,1,0,0,0,100,0,0,0,0,0,0,
19115,,Flying Islands Team,flying-islands-team,30,7,7,0,105034,1026,15005,7,100,57,14,43,0,0,0,0,0,0,
26808,,"Accolade, Inc.",accolade-inc,30,12,12,0,105019,563,8752,0,0,50,8,25,33,8,0,0,8,0,
1635167,,GrahfMetal,grahfmetal,30,1,1,0,105013,105013,105013,0,0,0,0,100,0,0,0,0,0,0,
5992,, yo_serjio,yo-serjio,30,3,3,1,104981,52491,34994,3,100,25,25,50,50,75,25,0,0,0,
6826,,TRI.G,tri-g,30,1,1,0,104960,104960,104960,1,100,0,0,0,0,100,0,0,0,0,
30929,,TallTech studio,talltech-studio,30,1,1,0,104874,104874,104874,0,100,0,0,100,0,0,100,0,0,0,
1633883,,Maticolotto,maticolotto,30,2,2,0,104727,52364,52364,2,50,0,50,50,100,0,50,0,0,0,
31105,,8th Floor Games,8th-floor-games,30,1,1,0,104701,0,104701,0,0,0,100,100,0,0,0,0,0,0,
